Syntax version=4
Thu Apr 23 10:47:48 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		particles_03	particles_05	particles_10	particles_100	particles_25	particles_50	baseline
D:	time(ms)	(0x200004a4,4)	(0x200004a8,4)	(0x200004ac,4)	(0x200004b0,4)	(0x200004b4,4)	(0x200004b8,4)	(0x20000070,6)
D:	0.12	0	0	0	0	0	0	8.547356
D:	1.00	0	0	0	0	0	0	8.531564
D:	2.03	0	0	0	0	0	0	8.538645
D:	2.92	0	0	0	0	0	0	8.651725
D:	3.86	0	0	0	0	0	0	8.684226
D:	4.91	0	0	0	0	0	0	8.817357
D:	5.73	0	0	0	0	0	0	8.921503
D:	6.74	0	0	0	0	0	0	8.855286
D:	7.67	0	0	0	0	0	0	8.931901
D:	8.60	0	0	0	0	0	0	8.771441
D:	9.47	0	0	0	0	0	0	8.674359
D:	10.43	0	0	0	0	0	0	8.553307
D:	11.29	0	0	0	0	0	0	8.648152
D:	12.15	0	0	0	0	0	0	8.660255
D:	12.97	0	0	0	0	0	0	8.729897
D:	13.85	0	0	0	0	0	0	8.652247
D:	14.64	0	0	0	0	0	0	8.666846
D:	15.54	0	0	0	0	0	0	8.790674
D:	16.36	0	0	0	0	0	0	8.679585
D:	17.30	0	0	0	0	0	0	8.571410
D:	18.10	0	0	0	0	0	0	8.555471
D:	18.86	0	0	0	0	0	0	8.635427
D:	19.87	0	0	0	0	0	0	8.610196
D:	20.68	0	0	0	0	0	0	8.747124
D:	21.46	0	0	0	0	0	0	8.714633
D:	22.33	0	0	0	0	0	0	8.724550
D:	23.18	0	0	0	0	0	0	8.796270
D:	24.00	0	0	0	0	0	0	8.795755
D:	24.85	0	0	0	0	0	0	8.640587
D:	25.65	0	0	0	0	0	0	8.667781
D:	26.44	0	0	0	0	0	0	8.576607
D:	27.26	0	0	0	0	0	0	8.562470
D:	28.07	0	0	0	0	0	0	8.603649
D:	28.94	0	0	0	0	0	0	8.635125
D:	29.76	0	0	0	0	0	0	8.705114
D:	30.57	0	0	0	0	0	0	8.757734
D:	31.37	0	0	0	0	0	0	8.610914
D:	32.21	0	0	0	0	0	0	8.527054
D:	33.04	0	0	0	0	0	0	8.577029
D:	33.85	0	0	0	0	0	0	8.496769
D:	34.65	0	0	0	0	0	0	8.675283
D:	35.50	0	0	0	0	0	0	8.685368
D:	36.33	0	0	0	0	0	0	8.581758
D:	37.18	0	0	0	0	0	0	8.663802
D:	37.98	0	0	0	0	0	0	8.814276
D:	38.85	0	0	0	0	0	0	8.922331
D:	39.65	0	0	0	0	0	0	8.884175
D:	40.49	0	0	0	0	0	0	8.762036
D:	41.36	0	0	0	0	0	0	8.691657
D:	42.19	0	0	0	0	0	0	8.620303
D:	43.00	0	0	0	0	0	0	8.694353
D:	43.85	0	0	0	0	0	0	8.772466
D:	44.66	0	0	0	0	0	0	8.604455
D:	45.45	0	0	0	0	0	0	8.634412
D:	46.24	0	0	0	0	0	0	8.646798
D:	47.12	0	0	0	0	0	0	8.812352
D:	48.07	0	0	0	0	0	0	9.034435
D:	48.90	0	0	0	0	0	0	9.041555
D:	49.98	0	0	0	0	0	0	8.934381
D:	50.90	0	0	0	0	0	0	8.774037
D:	52.12	0	0	0	0	0	0	8.720017
D:	52.98	0	0	0	0	0	0	8.686418
D:	53.85	0	0	0	0	0	0	8.502690
D:	54.66	0	0	0	0	0	0	8.540954
D:	55.49	0	0	0	0	0	0	8.527409
D:	56.33	0	0	0	0	0	0	8.536828
D:	57.18	0	0	0	0	0	0	8.605168
D:	57.98	0	0	0	0	0	0	8.662091
D:	58.85	0	0	0	0	0	0	9.287783
D:	59.65	0	0	0	0	0	0	9.148983
D:	60.44	0	0	0	0	0	0	9.204432
D:	61.25	0	0	0	0	0	0	9.115393
D:	62.04	0	0	0	0	0	0	9.018261
D:	62.85	0	0	0	0	0	0	9.110548
D:	63.64	0	0	0	0	0	0	9.119527
D:	64.60	0	0	0	0	0	0	9.188955
D:	65.69	0	0	0	0	0	0	9.322906
D:	66.53	0	0	0	0	0	0	9.294251
D:	67.45	0	0	0	0	0	0	9.270085
D:	68.23	0	0	0	0	0	0	9.219910
D:	69.02	0	0	0	0	0	0	9.244490
D:	69.86	0	0	0	0	0	0	9.079166
D:	70.73	0	0	0	0	0	0	9.052649
D:	71.62	0	0	0	0	0	0	9.173446
D:	72.44	0	0	0	0	0	0	9.128592
D:	73.26	0	0	0	0	0	0	9.142025
D:	74.12	0	0	0	0	0	0	9.040774
D:	75.03	0	0	0	0	0	0	8.999992
D:	75.85	0	0	0	0	0	0	9.081265
D:	76.65	0	0	0	0	0	0	8.970348
D:	77.43	0	0	0	0	0	0	8.936275
D:	78.26	0	0	0	0	0	0	8.923863
D:	79.05	0	0	0	0	0	0	8.776443
D:	79.85	0	0	0	0	0	0	8.868701
D:	80.68	0	0	0	0	0	0	8.941030
D:	81.56	0	0	0	0	0	0	8.881001
D:	82.50	0	0	0	0	0	0	8.938002
D:	83.32	0	0	0	0	0	0	9.009597
D:	84.26	0	0	0	0	0	0	8.909031
D:	85.11	0	0	0	0	0	0	8.920729
D:	85.99	0	0	0	0	0	0	8.781276
D:	86.87	0	0	0	0	0	0	8.776020
D:	87.72	0	0	0	0	0	0	8.729383
D:	88.85	0	0	0	0	0	0	8.908789
D:	89.65	0	0	0	0	0	0	8.885318
D:	90.47	0	0	0	0	0	0	8.811205
D:	91.43	0	0	0	0	0	0	8.891066
D:	92.24	0	0	0	0	0	0	8.842571
D:	93.06	0	0	0	0	0	0	8.798443
D:	94.07	0	0	0	0	0	0	8.801339
D:	94.91	0	0	0	0	0	0	8.741853
D:	95.73	0	0	0	0	0	0	8.825603
D:	96.52	0	0	0	0	0	0	8.647942
D:	97.33	0	0	0	0	0	0	8.689484
D:	98.26	0	0	0	0	0	0	8.945049
D:	99.18	0	0	0	0	0	0	9.112988
D:	100.19	0	0	0	0	0	0	9.154474
D:	100.98	0	0	0	0	0	0	9.255486
D:	101.98	0	0	0	0	0	0	9.144811
D:	102.86	0	0	0	0	0	0	9.169649
D:	103.71	0	0	0	0	0	0	9.093843
D:	104.51	0	0	0	0	0	0	9.023526
D:	105.41	0	0	0	0	0	0	8.982345
D:	106.33	0	0	0	0	0	0	8.987734
D:	107.19	0	0	0	0	0	0	8.921815
D:	107.98	0	0	0	0	0	0	9.020615
D:	108.85	0	0	0	0	0	0	9.188046
D:	109.64	0	0	0	0	0	0	9.377204
D:	110.42	0	0	0	0	0	0	9.386312
D:	111.24	0	0	0	0	0	0	9.407250
D:	112.05	0	0	0	0	0	0	9.208993
D:	112.92	0	0	0	0	0	0	9.040981
D:	113.74	0	0	0	0	0	0	8.921512
D:	114.59	0	0	0	0	0	0	9.103645
D:	115.43	0	0	0	0	0	0	9.182234
D:	116.26	0	0	0	0	0	0	9.299109
D:	117.13	0	0	0	0	0	0	9.359635
D:	118.14	0	0	0	0	0	0	9.527336
D:	119.01	0	0	0	0	0	0	9.369408
D:	119.86	0	0	0	0	0	0	9.421000
D:	120.72	0	0	0	0	0	0	9.259832
D:	121.62	0	0	0	0	0	0	9.206112
D:	122.49	0	0	0	0	0	0	9.107757
D:	123.40	0	0	0	0	0	0	9.062505
D:	124.28	0	0	0	0	0	0	8.912099
D:	125.13	0	0	0	0	0	0	9.121695
D:	126.01	0	0	0	0	0	0	9.196779
D:	126.86	0	0	0	0	0	0	9.153799
